Region,Country,Year,Gender,SuicideCount
AMERICA,URUGUAY,2009,Male,411
AMERICA,URUGUAY,2009,Female,103
AMERICA,URUGUAY,2010,Male,424
AMERICA,URUGUAY,2010,Female,126
AMERICA,URUGUAY,2012,Male,481
AMERICA,URUGUAY,2012,Female,123
AMERICA,URUGUAY,2013,Male,431
AMERICA,URUGUAY,2013,Female,124
AMERICA,URUGUAY,2014,Male,466
AMERICA,URUGUAY,2014,Female,135
AMERICA,URUGUAY,2015,Male,510
AMERICA,URUGUAY,2015,Female,132
AMERICA,URUGUAY,2015,Unknown,1
AMERICA,URUGUAY,2016,Male,551
AMERICA,URUGUAY,2016,Female,163
AMERICA,URUGUAY,2016,Unknown,1
AMERICA,URUGUAY,2017,Male,554
AMERICA,URUGUAY,2017,Female,134
AMERICA,URUGUAY,2018,Male,545
AMERICA,URUGUAY,2018,Female,165
AMERICA,URUGUAY,2019,Male,574
AMERICA,URUGUAY,2019,Female,149
AMERICA,URUGUAY,2020,Male,582
AMERICA,URUGUAY,2020,Female,137
AMERICA,UNITED STATES OF AMERICA,1991,Male,24769
AMERICA,UNITED STATES OF AMERICA,1991,Female,6041
AMERICA,UNITED STATES OF AMERICA,1992,Male,24457
AMERICA,UNITED STATES OF AMERICA,1992,Female,6027
AMERICA,UNITED STATES OF AMERICA,1993,Male,25007
AMERICA,UNITED STATES OF AMERICA,1993,Female,6095
AMERICA,UNITED STATES OF AMERICA,1994,Male,25174
AMERICA,UNITED STATES OF AMERICA,1994,Female,5968
AMERICA,UNITED STATES OF AMERICA,1995,Male,25369
AMERICA,UNITED STATES OF AMERICA,1995,Female,5915
AMERICA,UNITED STATES OF AMERICA,1996,Male,24998
AMERICA,UNITED STATES OF AMERICA,1996,Female,5905
AMERICA,UNITED STATES OF AMERICA,1997,Male,24492
AMERICA,UNITED STATES OF AMERICA,1997,Female,6043
AMERICA,UNITED STATES OF AMERICA,1998,Male,24538
AMERICA,UNITED STATES OF AMERICA,1998,Female,6037
AMERICA,UNITED STATES OF AMERICA,1999,Male,23458
